epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6227,1.55448,2.58904,1.53326,0.67898,0.52154,0.61657,0.29856,1.1195,34.8332,1.01903,0.000658537,0.000658537,0.000658537
2,152.941,1.6083,2.12073,1.56711,0.57165,0.54795,0.5484,0.25734,1.36908,33.9622,1.31398,0.00132302,0.00132302,0.00132302
3,226.514,1.60355,1.965,1.58175,0.57876,0.52055,0.44423,0.1606,1.55997,19.5204,1.4808,0.0019853,0.0019853,0.0019853
4,299.802,1.61979,1.82109,1.61959,0.24247,0.39726,0.27222,0.10912,1.41795,20.0332,1.30873,0.0019901,0.0019901,0.0019901
5,373.447,1.58005,1.63074,1.551,0.44775,0.61644,0.45559,0.20998,1.35349,21.5173,1.25996,0.0019868,0.0019868,0.0019868
6,447.036,1.55286,1.56492,1.54245,0.88023,0.50343,0.58035,0.31736,1.41491,10.0002,1.29333,0.0019835,0.0019835,0.0019835
7,520.455,1.52613,1.42247,1.52745,0.28467,0.28767,0.18902,0.084,1.48682,6.75454,1.39069,0.0019802,0.0019802,0.0019802
8,594.756,1.48488,1.34114,1.48849,0.64265,0.61644,0.64903,0.25537,1.35178,12.6936,1.2774,0.0019769,0.0019769,0.0019769
9,668.627,1.52985,1.38774,1.5221,0.53668,0.42466,0.45541,0.1411,1.57996,9.55135,1.45733,0.0019736,0.0019736,0.0019736
10,746.395,1.47357,1.29342,1.47629,0.39626,0.50685,0.43271,0.19397,1.25776,6.48291,1.22855,0.0019703,0.0019703,0.0019703
11,823.87,1.43599,1.23159,1.4795,0.73412,0.46575,0.5232,0.30929,1.27713,3.10189,1.25311,0.001967,0.001967,0.001967
12,901.7,1.50047,1.24361,1.51636,0.62095,0.42641,0.52364,0.24357,1.26279,3.24378,1.16394,0.0019637,0.0019637,0.0019637
13,979.521,1.45149,1.26422,1.47433,0.60962,0.68493,0.70199,0.38458,1.14881,3.61709,1.17786,0.0019604,0.0019604,0.0019604
14,1057.6,1.4356,1.16377,1.46459,0.57752,0.57534,0.55222,0.20446,1.40939,2.83262,1.28373,0.0019571,0.0019571,0.0019571
15,1136.02,1.38141,1.08382,1.41522,0.7164,0.72669,0.74788,0.48632,0.97426,2.83034,1.06091,0.0019538,0.0019538,0.0019538
16,1214.29,1.36771,1.14544,1.42372,0.60285,0.63014,0.66471,0.3302,1.19635,2.64505,1.17173,0.0019505,0.0019505,0.0019505
